area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,Fanorrt,1650.0,3.0,3.0,175.0
Built-up  Area,Ready To Move,BSM Extension,2 BHK,Raave E,840.0,2.0,2.0,27.0
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,914.0,2.0,2.0,47.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482.0,2.0,2.0,83.73
Super built-up  Area,17-Dec,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,127.0
Super built-up  Area,Ready To Move,Vijinapura,3 BHK,Vadidpl,1670.0,3.0,3.0,91.86
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,927.0,2.0,2.0,55.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220.0,3.0,1.0,35.23
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1180.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Prtates,1697.0,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1225.0,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1690.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,Keharya,1250.0,2.0,1.0,80.0
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Duoveoo,1050.0,1.0,1.0,44.0
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1699.0,3.0,3.0,81.94
Built-up  Area,Ready To Move,Whitefield,2 BHK,Viaree ,1205.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1476.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2160.0,4.0,2.0,172.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,Putus L,1296.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570.0,3.0,3.0,64.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1300.0,2.0,3.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,40.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,Valipf ,1429.0,3.0,3.0,86.0
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035.0,2.0,1.0,41.73
Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,884.0,2.0,2.0,36.0
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1026.0,2.0,1.0,60.87
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690.0,4.0,3.0,191.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,1700.0,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,PrOakSi,3606.0,4.0,2.0,312.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,ACersd ,1258.0,2.0,2.0,115.0
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630.0,6.0,1.0,195.0
Built-up  Area,Ready To Move,JP Nagar,3 BHK,Adace P,2000.0,3.0,2.0,250.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790.0,4.0,3.0,198.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494.0,2.0,2.0,94.55
Super built-up  Area,18-Oct,Hennur Road,3 BHK,Puachal,1482.0,2.0,1.0,87.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,Inuseda,800.0,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1100.0,2.0,2.0,71.5
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,EvestPi,1225.0,2.0,2.0,150.0
Built-up  Area,Ready To Move,Hormavu,2 BHK,BhncyRe,1180.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Belatur,2 BHK,Kehts H,1260.0,2.0,2.0,58.0
Built-up  Area,Ready To Move,Arekere,2 BHK,DancyRe,1190.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691.0,3.0,2.0,119.0
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,Mauil T,1250.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,N iewak,800.0,2.0,2.0,28.0
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Loente ,1510.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3 BHK,DubowRa,1614.0,3.0,1.0,110.0
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1632.0,3.0,0.0,145.0
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,Mamespa,3012.0,6.0,2.0,250.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NCdgerj,1450.0,2.0,2.0,135.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Hiate F,1200.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,PuendWe,1508.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1188.0,2.0,3.0,73.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2690.0,4.0,3.0,199.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174.0,2.0,1.0,76.0
Super built-up  Area,19-Dec,Old Madras Road,3 BHK,SheldGr,1350.0,3.0,1.0,58.99
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Bamita ,1870.0,3.0,3.0,185.0
Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,DSestSt,1072.0,2.0,1.0,25.0
Super built-up  Area,18-Nov,Kengeri,2 BHK,VBn 2lm,726.0,2.0,1.0,31.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Saageat,1345.0,2.0,2.0,106.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1050.0,2.0,1.0,77.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1743.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950.0,2.0,2.0,32.5
Built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,640.0,1.0,0.0,55.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,MJtroty,972.0,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PadgeOa,1840.0,3.0,3.0,98.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,64.0
Plot  Area,Ready To Move,Harappanahalli,2 Bedroom,Clood E,2400.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Mames M,1150.0,2.0,2.0,63.0
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,3450.0,4.0,3.0,294.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,920.0,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564.0,3.0,1.0,101.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SirlsPe,1045.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoniaPe,2479.13,3.0,1.0,215.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1846.0,3.0,2.0,140.0
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,InllaPa,3042.0,4.0,0.0,131.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,3.0,223.0
Built-up  Area,19-Mar,NR Colony,2 BHK,GKncysi,1068.0,2.0,1.0,40.05
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,SGiewrk,1135.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,AnaveEn,1150.0,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1354.0,3.0,1.0,90.0
Plot  Area,Ready To Move,Varthur,4 Bedroom,SLncyaj,1320.0,2.0,1.0,110.0
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,ColeyNa,3500.0,6.0,2.0,225.0
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,Samesan,1000.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,3 BHK,VBavaai,1130.0,3.0,1.0,38.0
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,2204.0,2.0,3.0,305.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745.0,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,MaaveEn,1550.0,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Soe 2as,1329.0,2.0,2.0,45.95
Super built-up  Area,Ready To Move,Maruthi Layout,2 BHK,Prareth,916.0,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,NiarkHy,688.0,1.0,2.0,50.0
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,Sholaya,1358.0,3.0,3.0,50.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1331.0,2.0,1.0,107.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Kaamai ,686.0,1.0,1.0,62.5
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Sulla S,1050.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,Sodgere,2106.0,3.0,2.0,126.0
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1718.0,3.0,2.0,90.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530.0,3.0,2.0,57.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Arade A,1075.0,2.0,3.0,52.0
Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1936.0,2.0,2.0,54.21
Super built-up  Area,Ready To Move,Nagavara,4 BHK,K dotna,2172.65,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Soikaa ,1117.0,2.0,3.0,29.99
Built-up  Area,Ready To Move,Remco Bhel Layout,3 BHK,Suncy R,1685.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,AnncyRe,740.0,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,PuontBe,1700.0,3.0,2.0,130.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Kinumsh,850.0,2.0,2.0,37.93
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891.0,3.0,1.0,139.0
Built-up  Area,Ready To Move,Jalahalli,2 BHK,Prensin,1400.0,1.0,1.0,80.0
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,DSgam S,896.0,2.0,1.0,43.75
Super built-up  Area,20-Jun,Vijayanagar,2 BHK,Saityat,1180.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,Chokkasandra,2 BHK,Siise R,850.0,2.0,1.0,33.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1699.0,3.0,3.0,97.0
Super built-up  Area,17-Oct,Bellandur,4 BHK,NiCodCa,2025.0,4.0,3.0,109.0
Built-up  Area,Ready To Move,Panduranga Nagar,1 BHK,Jeshan ,500.0,1.0,0.0,20.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,332.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Rencyed,1455.0,2.0,1.0,145.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,94.99
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,Prurten,3155.0,4.0,2.0,370.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1765.0,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Incksaf,1980.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,Dural C,1265.0,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niara S,1034.0,2.0,3.0,40.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,AkletBa,2045.0,4.0,3.0,154.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,AkonyHa,1490.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,671.0,1.0,1.0,36.85
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Elentrk,1156.0,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,235.0
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,ViistLa,1635.0,3.0,1.0,62.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296.0,2.0,1.0,89.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139.0,2.0,2.0,62.0
Super built-up  Area,19-Dec,Binny Pete,2 BHK,Shestlo,1245.0,2.0,1.0,86.28
Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3951.0,4.0,2.0,220.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550.0,1.0,1.0,15.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,ItRRVna,360.0,1.0,1.0,26.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1670.0,3.0,2.0,120.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,LencyRe,1050.0,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1210.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1343.0,2.0,2.0,56.41
Super built-up  Area,17-Aug,Kalkere,2 BHK,Sothin ,925.0,2.0,2.0,51.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1420.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,Dhnts A,1415.0,2.0,3.0,110.0
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,Aaityi ,1210.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,RNvasth,1852.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1250.0,3.0,2.0,50.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1100.0,2.0,1.0,65.0
Super built-up  Area,20-Dec,Jakkur,2 BHK,ArndsSk,1100.0,2.0,1.0,53.35
Plot  Area,Ready To Move,Magadi Road,2 Bedroom,Bhgarve,1350.0,1.0,0.0,100.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,SVnamnd,1546.0,3.0,2.0,99.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1424.0,2.0,2.0,90.0
Built-up  Area,Ready To Move,Bellandur,3 BHK,Itnaia ,1398.0,3.0,1.0,68.0
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,MCtleas,1650.0,3.0,2.0,200.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Mapleer,1476.0,3.0,2.0,105.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1322.0,2.0,2.0,58.82
Built-up  Area,Ready To Move,Sarjapur,3 BHK,Ahownve,1285.0,2.0,2.0,68.0
Built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1150.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,2.0,56.0
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,Kenia G,1185.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Leate O,1760.0,3.0,2.0,67.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1297.0,2.0,1.0,105.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,SodilDa,1840.0,3.0,2.0,155.0
Carpet  Area,Ready To Move,BTM 2nd Stage,2 BHK,Jancyva,950.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Prthand,1277.5,2.0,0.0,95.815
Super built-up  Area,18-Jan,Electronic City,3 BHK,Prarkun,1571.0,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031.0,2.0,1.0,55.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,Goted U,1485.0,2.0,1.0,90.0
Super built-up  Area,18-Dec,Ananth Nagar,2 BHK,Marnara,1109.0,2.0,1.0,60.0
Super built-up  Area,18-Apr,Whitefield,1 BHK,Prtates,950.0,1.0,1.0,50.0
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161.0,2.0,1.0,55.15
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,MJtroty,1003.0,2.0,1.0,40.6
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255.0,2.0,2.0,73.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,1875.0,3.0,1.0,167.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2519.0,5.0,2.0,185.0
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,Feowsdi,1450.0,3.0,3.0,132.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1837.0,3.0,3.0,145.0
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,ACiteda,1238.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1405.0,2.0,2.0,59.01
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1673.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1112.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545.0,1.0,1.0,27.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,985.0,2.0,1.0,58.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,825.0,1.0,0.0,36.29
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Sosisic,1430.0,2.0,1.0,97.52
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,1050.0,2.0,2.0,43.0
Built-up  Area,Ready To Move,ITI Layout,3 BHK,Arnorya,1533.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1750.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352.0,2.0,2.0,87.5
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754.0,3.0,2.0,125.0
Built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Paion P,1560.0,3.0,2.0,85.0
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,Mamespa,3012.0,6.0,2.0,268.0
Super built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,1470.0,2.0,1.0,90.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1035.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1100.0,2.0,2.0,52.0
Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,Hiatei ,595.0,1.0,1.0,31.83
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Brstark,1650.0,3.0,2.0,110.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1235.0,2.0,1.0,46.8
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1400.0,3.0,1.0,115.0
Super built-up  Area,Ready To Move,Sundar Ram Shetty Nagar,3 BHK,NeendLe,1375.0,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Ulure S,1065.0,2.0,1.0,40.84
Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,825.0,1.0,1.0,45.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1440.0,2.0,2.0,60.33
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,870.0,2.0,1.0,39.5
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1195.0,2.0,1.0,84.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancy R,1530.0,3.0,3.0,61.2
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,Saeina ,975.0,2.0,1.0,43.0
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1920.0,3.0,2.0,130.0
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183.0,2.0,1.0,58.56
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Inasy E,1550.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frides ,1110.0,2.0,3.0,53.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105.0,2.0,1.0,38.67
Super built-up  Area,19-Oct,Hebbal,4 BHK,SNontle,3067.0,4.0,2.0,230.0
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1929.0,4.0,1.0,103.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SVyam N,1525.0,3.0,1.0,100.0
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,1775.0,3.0,3.0,110.0
Built-up  Area,Ready To Move,Banashankari,2 BHK,Koestpt,1125.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268.0,2.0,1.0,73.0
Built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1500.0,3.0,2.0,88.0
Super built-up  Area,18-Jan,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,47.0
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Paoliy ,1525.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Mebhaee,1060.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1687.0,3.0,3.0,127.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1847.0,3.0,2.0,123.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410.0,2.0,3.0,53.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1075.0,2.0,1.0,42.99
Built-up  Area,Ready To Move,Gaundanapalya,2 BHK,Sioma A,1010.0,2.0,2.0,46.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1875.0,3.0,3.0,110.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,983.0,2.0,1.0,50.6
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,2 BHK,DubowRa,1140.0,2.0,1.0,76.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1215.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,SoderLa,2039.0,3.0,2.0,168.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Foity S,1350.0,3.0,1.0,55.5
Carpet  Area,Ready To Move,KR Puram,3 BHK,Jahidva,1128.76,3.0,0.0,47.405
Super built-up  Area,Ready To Move,Electronic City,2 BHK,PrwarSa,921.0,2.0,1.0,34.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010.0,2.0,1.0,49.27
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1015.0,2.0,1.0,43.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1179.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870.0,2.0,1.0,24.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,320.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Gintsar,1000.0,1.0,1.0,55.0
Plot  Area,18-May,Kammasandra,2 Bedroom,Daden G,1200.0,2.0,1.0,66.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,1.0,57.5
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1085.0,2.0,2.0,30.38
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1934.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Sancyi ,1200.0,2.0,1.0,49.5
Super built-up  Area,Ready To Move,Uttarahalli,6 BHK,PoetyHo,3600.0,6.0,2.0,120.0
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Bommasandra,2 BHK,Vaodspe,877.0,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936.0,2.0,2.0,42.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232.0,2.0,0.0,69.61
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2225.0,4.0,2.0,169.0
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1901.0,3.0,2.0,119.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1819.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3715.0,6.0,0.0,200.5
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,5000.0,4.0,3.0,290.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1845.0,4.0,1.0,110.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254.0,3.0,2.0,170.0
